"probeset","nProbes","EntrezID","process","specificity","coverage","robust","overall","symbol","best"
"1552915_at",11,"282616",35,1,1,0.94328954339062,0.94328954339062,"IL28A",TRUE
"1552348_at",11,"260429",52,1,1,0.916916407788099,0.916916407788099,"PRSS33",TRUE
"33323_r_at",16,"2810",56.5,1,1,0.910059564435813,0.910059564435813,"SFN",TRUE
"1554715_at",11,"414926",61,1,1,0.903253997623415,0.903253997623415,"LINC00593",TRUE
"1553906_s_at",11,"221472",62,1,1,0.901748574294043,0.901748574294043,"FGD2",TRUE
"1552972_at",11,"100507431",70,1,1,0.889795162670084,0.889795162670084,"LOC100507431",TRUE
"33322_i_at",14,"2810",70.5,1,1,0.889053357486806,0.889053357486806,"SFN",FALSE
"230418_s_at",11,"57452",72,1,1,0.886831650447747,0.886831650447747,"GALNTL1",TRUE
"1553993_s_at",11,"81857",75,1,1,0.882404878353559,0.882404878353559,"MED25",TRUE
"1552946_at",11,"163071",76,1,1,0.880934203556303,0.880934203556303,"ZNF114",TRUE
"1553878_at",11,"137362",80,1,1,0.875075974795855,0.875075974795855,"GOT1L1",TRUE
"49452_at",16,"32",88.5,1,1,0.862756266687046,0.862756266687046,"ACACB",TRUE
"1553858_at",11,"79842",89,1,1,0.862037003313425,0.862037003313425,"ZBTB3",TRUE
"1559108_at",11,"100996816",91,1,1,0.859165941182945,0.859165941182945,"LOC100996816",TRUE
"201553_s_at",11,"3916",91,1,1,0.859165941182945,0.859165941182945,"LAMP1",TRUE
"221832_s_at",11,"7798",92,1,1,0.85773399794764,0.85773399794764,"LUZP1",TRUE
"210026_s_at",11,"29775",93,1,1,0.856304441284394,0.856304441284394,"CARD10",TRUE
"217807_s_at",11,"29997",95,1,1,0.853452471770227,0.853452471770227,"GLTSCR2",TRUE
"230696_at",11,"100289092",95,1,1,0.853452471770227,0.853452471770227,"LOC100289092",TRUE
"40225_at",16,"2580",97.5,1,1,0.849900863634477,0.849900863634477,"GAK",TRUE
"1552302_at",11,"113277",42,0.909090909090909,1,0.932339371347743,0.847581246679766,"TMEM106A",TRUE
"1558292_s_at",11,"284098",101,1,1,0.844953428647518,0.844953428647518,"PIGW",TRUE
"242274_x_at",11,"284439",101,1,1,0.844953428647518,0.844953428647518,"SLC25A42",TRUE
