"probeset","nProbes","EntrezID","process","specificity","coverage","robust","overall","symbol","best"
"33323_r_at",16,"2810",56.5,1,1,0.910059564435813,0.910059564435813,"SFN",TRUE
"33322_i_at",14,"2810",70.5,1,1,0.889053357486806,0.889053357486806,"SFN",FALSE
"49452_at",16,"32",88.5,1,1,0.862756266687046,0.862756266687046,"ACACB",TRUE
"201553_s_at",11,"3916",91,1,1,0.859165941182945,0.859165941182945,"LAMP1",TRUE
"221832_s_at",11,"7798",92,1,1,0.85773399794764,0.85773399794764,"LUZP1",TRUE
"210026_s_at",11,"29775",93,1,1,0.856304441284394,0.856304441284394,"CARD10",TRUE
"217807_s_at",11,"29997",95,1,1,0.853452471770227,0.853452471770227,"GLTSCR2",TRUE
"40225_at",16,"2580",97.5,1,1,0.849900863634477,0.849900863634477,"GAK",TRUE
"201569_s_at",11,"25813",102,1,1,0.843545172933105,0.843545172933105,"SAMM50",TRUE
"211709_s_at",11,"6320",102,1,1,0.843545172933105,0.843545172933105,"CLEC11A",TRUE
"203996_s_at",11,"755",110,1,1,0.832363294787784,0.832363294787784,"C21orf2",TRUE
"208212_s_at",11,"238",110,1,1,0.832363294787784,0.832363294787784,"ALK",TRUE
"36553_at",16,"8623",111,1,1,0.830976022629805,0.830976022629805,"ASMTL",TRUE
"37462_i_at",13,"8175",111,1,1,0.830976022629805,0.830976022629805,"SF3A2",TRUE
"214749_s_at",11,"54470",114,1,1,0.826828063469733,0.826828063469733,"ARMCX6",TRUE
"210683_at",11,"4902",116,1,1,0.824074266669455,0.824074266669455,"NRTN",TRUE
"213485_s_at",11,"89845",118,1,1,0.821329641542408,0.821329641542408,"ABCC10",TRUE
"201227_s_at",11,"4714",120,1,1,0.818594157541827,0.818594157541827,"NDUFB8",TRUE
"201358_s_at",11,"1315",121,1,1,0.817229833945924,0.817229833945924,"COPB1",TRUE
"201558_at",11,"8480",124,1,1,0.813150491241339,0.813150491241339,"RAE1",TRUE
"212964_at",11,"23119",125,1,1,0.811795240422603,0.811795240422603,"HIC2",TRUE
"214221_at",11,"7840",125,1,1,0.811795240422603,0.811795240422603,"ALMS1",TRUE
"214095_at",11,"6472",71,0.909090909090909,1,0.888312170732301,0.807556518847546,"SHMT2",TRUE
"207165_at",11,"3161",129,1,1,0.806396787046811,0.806396787046811,"HMMR",TRUE
"217824_at",11,"51465",130,1,1,0.805052792401733,0.805052792401733,"UBE2J1",TRUE
"32062_at",16,"9684",130,1,1,0.805052792401733,0.805052792401733,"LRRC14",TRUE
"205250_s_at",11,"80184",131,1,1,0.80371103774773,0.80371103774773,"CEP290",TRUE
"210302_s_at",11,"10586",132,1,1,0.802371519351484,0.802371519351484,"MAB21L2",TRUE
