"probeset","nProbes","EntrezID","process","specificity","coverage","robust","overall","symbol","best"
"33323_r_at",16,"2810",56.5,1,1,0.910059564435813,0.910059564435813,"SFN",TRUE
"32166_at",16,"7094",57,1,1,0.909300865208943,0.909300865208943,"TLN1",TRUE
"38751_i_at",14,"521",60.5,1,1,0.904007651486382,0.904007651486382,"ATP5I",TRUE
"33322_i_at",14,"2810",70.5,1,1,0.889053357486806,0.889053357486806,"SFN",FALSE
"34961_at",16,"10225",74.5,1,1,0.883141136202428,0.883141136202428,"CD96",TRUE
"34443_at",16,"339479",79,1,1,0.876536869578486,0.876536869578486,"FAM5C",TRUE
"35937_at",16,"4277",84.5,1,1,0.868532020701939,0.868532020701939,"MICB",TRUE
"38456_s_at",16,"6628",85,1,1,0.867807942192829,0.867807942192829,"SNRPB",TRUE
"40825_at",16,"22924",90.5,1,1,0.859882809009941,0.859882809009941,"MAPRE3",TRUE
"34938_i_at",13,"100130449",91,1,1,0.859165941182945,0.859165941182945,"PP14571",TRUE
"32052_at",16,"3043",55,0.9375,1,0.91233946247424,0.8553182460696,"HBB",TRUE
"33479_g_at",16,"7142",95.5,1,1,0.852740964792216,0.852740964792216,"TNP2",TRUE
"40225_at",16,"2580",97.5,1,1,0.849900863634477,0.849900863634477,"GAK",TRUE
"38126_at",16,"633",101.5,1,1,0.844249007158961,0.844249007158961,"BGN",TRUE
"41421_at",16,"23125",63,0.9375,1,0.900245660003553,0.843980306253331,"CAMTA2",TRUE
"38080_at",16,"1351",102.5,1,1,0.842841925480362,0.842841925480362,"COX8A",TRUE
"32589_at",16,"10036",104,1,1,0.840735698871031,0.840735698871031,"CHAF1A",TRUE
"32472_at",16,"5020",109.5,1,1,0.833057799117861,0.833057799117861,"OXT",TRUE
"36553_at",16,"8623",111,1,1,0.830976022629805,0.830976022629805,"ASMTL",TRUE
"37462_i_at",13,"8175",111,1,1,0.830976022629805,0.830976022629805,"SF3A2",TRUE
"36502_at",16,"5218",73,0.9375,1,0.885353597697,0.830018997840938,"CDK14",TRUE
"39370_at",16,"81631",114.5,1,1,0.826138752750937,0.826138752750937,"MAP1LC3B",TRUE
"39176_f_at",16,"1056",115,1,1,0.825450016697283,0.825450016697283,"CEL",TRUE
"32041_r_at",16,"988",79,0.9375,1,0.876536869578486,0.82175331522983,"CDC5L",TRUE
"1211_s_at",16,"8738",118,1,1,0.821329641542408,0.821329641542408,"CRADD",TRUE
"1051_g_at",16,"2315",82.5,0.9375,1,0.871434381321953,0.816969732489331,"MLANA",TRUE
"1322_at",16,"1869",123,1,1,0.814508004582309,0.814508004582309,"E2F1",TRUE
"34227_i_at",14,"10216",123.5,1,1,0.813828964860619,0.813828964860619,"PRG4",TRUE
"36736_f_at",16,"5723",124,1,1,0.813150491241339,0.813150491241339,"PSPH",TRUE
"38840_s_at",16,"5217",124,1,1,0.813150491241339,0.813150491241339,"PFN2",TRUE
"36285_at",16,"3761",85.5,0.9375,1,0.867084467334102,0.812891688125721,"KCNJ4",TRUE
"522_s_at",16,"2352",89.5,0.9375,1,0.861318339575901,0.807485943352407,"FOLR3",TRUE
"32062_at",16,"9684",130,1,1,0.805052792401733,0.805052792401733,"LRRC14",TRUE
"32789_at",16,"22916",91.5,0.9375,1,0.858449670994924,0.804796566557742,"NCBP2",TRUE
"34495_r_at",16,"23546",93.5,0.9375,1,0.855590556674027,0.802116146881901,"SYNGR4",TRUE
"37992_s_at",16,"513",93.5,0.9375,1,0.855590556674027,0.802116146881901,"ATP5D",TRUE
"38324_at",16,"51599",132.5,1,1,0.801702597585059,0.801702597585059,"LSR",TRUE
"34764_at",16,"23395",97.5,0.9375,1,0.849900863634477,0.796782059657322,"LARS2",TRUE
